sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x831,2,831,2755,0.83,4843,2085,13504.1111111111,157301.666666667,55,66,8247,16380,1654,2410,635,4044,3,329,64,11921,2x831,Lung5,plasmablast,tumor interior
2x832,2,832,1286,0.82,1610,2096,10271.1111111111,157312.666666667,36,44,2623,9340,450,781,846,4106,0,0,4357,29425,2x832,Lung5,NK,stroma
2x833,2,833,4245,0.68,1732,2074,10393.1111111111,157290.666666667,60,88,2018,5304,435,3528,257,11871,0,218,5591,23366,2x833,Lung5,fibroblast,stroma
2x834,2,834,2346,0.95,2979,2085,11640.1111111111,157301.666666667,54,57,10340,36705,996,2156,376,895,0,70,0,0,2x834,Lung5,endothelial,tumor-stroma boundary
2x835,2,835,5745,1.0,4752,2074,13413.1111111111,157290.666666667,88,88,5427,18237,2845,44136,231,638,0,137,5237,34805,2x835,Lung5,endothelial,tumor interior
2x836,2,836,2353,1.08,4704,2090,13365.1111111111,157306.666666667,56,52,7322,11617,34126,65233,356,658,0,68,0,0,2x836,Lung5,tumor 5,tumor interior
2x837,2,837,4638,0.74,493,2067,9154.11111111111,157283.666666667,70,95,7008,19798,491,824,222,1114,0,152,802,9352,2x837,Lung5,fibroblast,stroma
2x838,2,838,6194,0.81,614,2063,9275.11111111111,157279.666666667,83,102,1033,3722,22020,65235,232,639,0,25,2725,22413,2x838,Lung5,epithelial,stroma
2x839,2,839,2859,0.98,4904,2071,13565.1111111111,157287.666666667,65,66,3700,15153,1555,49858,3761,22652,40,761,12968,43568,2x839,Lung5,neutrophil,tumor interior
2x840,2,840,3914,1.18,2068,2072,10729.1111111111,157288.666666667,80,68,2646,12332,528,1443,442,1403,5,554,11847,48144,2x840,Lung5,mDC,stroma
2x841,2,841,4415,0.99,3321,2073,11982.1111111111,157289.666666667,74,75,3030,9358,34118,65239,349,2801,1,287,4214,18216,2x841,Lung5,epithelial,tumor-stroma boundary
2x842,2,842,3416,1.26,4069,2075,12730.1111111111,157291.666666667,83,66,2652,7837,23496,65180,299,749,0,133,10561,29304,2x842,Lung5,tumor 5,tumor interior
2x843,2,843,4654,1.16,5189,2069,13850.1111111111,157285.666666667,87,75,4091,7920,28836,65247,356,663,2,258,416,8641,2x843,Lung5,tumor 5,tumor interior
2x844,2,844,3231,0.81,4363,2065,13024.1111111111,157281.666666667,62,77,3182,6949,42071,65263,385,1966,0,158,5052,26555,2x844,Lung5,tumor 5,tumor interior
2x845,2,845,3031,0.84,345,2066,9006.11111111111,157282.666666667,58,69,1143,2743,441,13126,282,973,0,7,10509,30245,2x845,Lung5,mDC,stroma
2x846,2,846,4506,1.28,3991,2056,12652.1111111111,157272.666666667,87,68,2710,6152,35083,65275,270,768,0,213,5431,21757,2x846,Lung5,tumor 5,tumor interior
2x847,2,847,2418,0.74,2595,2065,11256.1111111111,157281.666666667,49,66,5177,17470,528,951,310,996,0,107,2155,18098,2x847,Lung5,endothelial,plasmablast-enriched stroma
2x848,2,848,3054,0.7,549,2058,9210.11111111111,157274.666666667,51,73,939,2537,5665,65219,239,1194,0,43,4496,23261,2x848,Lung5,mDC,stroma
2x849,2,849,3575,1.16,1058,2048,9719.11111111111,157264.666666667,79,68,2880,6582,591,1416,398,1936,1,222,13535,46694,2x849,Lung5,plasmablast,stroma
